Supplier,Direction,SOC,TempLabel,TempC,DCR_mOhm,,AUTO-GENERATED — do not edit. Fill DCR_<Supplier> tabs; Save As CSV UTF-8 → dcr.csv
Tianneng Energy,Discharge,50%,-20°C,-20,,,
Tianneng Energy,Discharge,60%,-20°C,-20,,,
Tianneng Energy,Discharge,70%,-20°C,-20,,,
Tianneng Energy,Discharge,80%,-20°C,-20,,,
Tianneng Energy,Discharge,90%,-20°C,-20,,,
Tianneng Energy,Discharge,10%,-10°C,-10,,,
Tianneng Energy,Discharge,20%,-10°C,-10,,,
Tianneng Energy,Discharge,30%,-10°C,-10,,,
Tianneng Energy,Discharge,40%,-10°C,-10,,,
Tianneng Energy,Discharge,50%,-10°C,-10,,,
Tianneng Energy,Discharge,60%,-10°C,-10,,,
Tianneng Energy,Discharge,70%,-10°C,-10,,,
Tianneng Energy,Discharge,80%,-10°C,-10,,,
Tianneng Energy,Discharge,90%,-10°C,-10,,,
Tianneng Energy,Discharge,10%,0°C,0,,,
Tianneng Energy,Discharge,20%,0°C,0,,,
Tianneng Energy,Discharge,30%,0°C,0,,,
Tianneng Energy,Discharge,40%,0°C,0,,,
Tianneng Energy,Discharge,50%,0°C,0,,,
Tianneng Energy,Discharge,60%,0°C,0,,,
Tianneng Energy,Discharge,70%,0°C,0,,,
Tianneng Energy,Discharge,80%,0°C,0,,,
Tianneng Energy,Discharge,90%,0°C,0,,,
Tianneng Energy,Discharge,10%,25°C,25,,,
Tianneng Energy,Discharge,20%,25°C,25,,,
Tianneng Energy,Discharge,30%,25°C,25,,,
Tianneng Energy,Discharge,40%,25°C,25,,,
Tianneng Energy,Discharge,50%,25°C,25,,,
Tianneng Energy,Discharge,60%,25°C,25,,,
Tianneng Energy,Discharge,70%,25°C,25,,,
Tianneng Energy,Discharge,80%,25°C,25,,,
Tianneng Energy,Discharge,90%,25°C,25,,,
Tianneng Energy,Discharge,10%,45°C,45,,,
Tianneng Energy,Discharge,20%,45°C,45,,,
Tianneng Energy,Discharge,30%,45°C,45,,,
Tianneng Energy,Discharge,40%,45°C,45,,,
Tianneng Energy,Discharge,50%,45°C,45,,,
Tianneng Energy,Discharge,60%,45°C,45,,,
Tianneng Energy,Discharge,70%,45°C,45,,,
Tianneng Energy,Discharge,80%,45°C,45,,,
Tianneng Energy,Discharge,90%,45°C,45,,,
Tianneng Energy,Charge,10%,-20°C,-20,,,
Tianneng Energy,Charge,20%,-20°C,-20,,,
Tianneng Energy,Charge,30%,-20°C,-20,,,
Tianneng Energy,Charge,40%,-20°C,-20,,,
Tianneng Energy,Charge,50%,-20°C,-20,,,
Tianneng Energy,Charge,60%,-20°C,-20,,,
Tianneng Energy,Charge,70%,-20°C,-20,,,
Tianneng Energy,Charge,80%,-20°C,-20,,,
Tianneng Energy,Charge,90%,-20°C,-20,,,
Tianneng Energy,Charge,10%,-10°C,-10,,,
Tianneng Energy,Charge,20%,-10°C,-10,,,
Tianneng Energy,Charge,30%,-10°C,-10,,,
Tianneng Energy,Charge,40%,-10°C,-10,,,
Tianneng Energy,Charge,50%,-10°C,-10,,,
Tianneng Energy,Charge,60%,-10°C,-10,,,
Tianneng Energy,Charge,70%,-10°C,-10,,,
Tianneng Energy,Charge,80%,-10°C,-10,,,
Tianneng Energy,Charge,90%,-10°C,-10,,,
Tianneng Energy,Charge,10%,0°C,0,,,
Tianneng Energy,Charge,20%,0°C,0,,,
Tianneng Energy,Charge,30%,0°C,0,,,
Tianneng Energy,Charge,40%,0°C,0,,,
Tianneng Energy,Charge,50%,0°C,0,,,
Tianneng Energy,Charge,60%,0°C,0,,,
Tianneng Energy,Charge,70%,0°C,0,,,
Tianneng Energy,Charge,80%,0°C,0,,,
Tianneng Energy,Charge,90%,0°C,0,,,
Tianneng Energy,Charge,10%,25°C,25,,,
Tianneng Energy,Charge,20%,25°C,25,,,
Tianneng Energy,Charge,30%,25°C,25,,,
Tianneng Energy,Charge,40%,25°C,25,,,
Tianneng Energy,Charge,50%,25°C,25,,,
Tianneng Energy,Charge,60%,25°C,25,,,
Tianneng Energy,Charge,70%,25°C,25,,,
Tianneng Energy,Charge,80%,25°C,25,,,
Tianneng Energy,Charge,90%,25°C,25,,,
Tianneng Energy,Charge,10%,45°C,45,,,
Tianneng Energy,Charge,20%,45°C,45,,,
Tianneng Energy,Charge,30%,45°C,45,,,
Tianneng Energy,Charge,40%,45°C,45,,,
Tianneng Energy,Charge,50%,45°C,45,,,
Tianneng Energy,Charge,60%,45°C,45,,,
Tianneng Energy,Charge,70%,45°C,45,,,
Tianneng Energy,Charge,80%,45°C,45,,,
Tianneng Energy,Charge,90%,45°C,45,,,
REPT,Discharge,10%,-20°C,-20,,,
REPT,Discharge,20%,-20°C,-20,,,
REPT,Discharge,30%,-20°C,-20,,,
REPT,Discharge,40%,-20°C,-20,,,
REPT,Discharge,50%,-20°C,-20,,,
REPT,Discharge,60%,-20°C,-20,,,
REPT,Discharge,70%,-20°C,-20,,,
REPT,Discharge,80%,-20°C,-20,,,
REPT,Discharge,90%,-20°C,-20,,,
REPT,Discharge,10%,-10°C,-10,,,
REPT,Discharge,20%,-10°C,-10,,,
REPT,Discharge,30%,-10°C,-10,,,
REPT,Discharge,40%,-10°C,-10,,,
REPT,Discharge,50%,-10°C,-10,,,
REPT,Discharge,60%,-10°C,-10,,,
REPT,Discharge,70%,-10°C,-10,,,
REPT,Discharge,80%,-10°C,-10,,,
REPT,Discharge,90%,-10°C,-10,,,
REPT,Discharge,10%,0°C,0,,,
REPT,Discharge,20%,0°C,0,,,
REPT,Discharge,30%,0°C,0,,,
REPT,Discharge,40%,0°C,0,,,
REPT,Discharge,50%,0°C,0,,,
REPT,Discharge,60%,0°C,0,,,
REPT,Discharge,70%,0°C,0,,,
REPT,Discharge,80%,0°C,0,,,
REPT,Discharge,90%,0°C,0,,,
REPT,Discharge,10%,25°C,25,,,
REPT,Discharge,20%,25°C,25,,,
REPT,Discharge,30%,25°C,25,,,
REPT,Discharge,40%,25°C,25,,,
REPT,Discharge,50%,25°C,25,,,
REPT,Discharge,60%,25°C,25,,,
REPT,Discharge,70%,25°C,25,,,
REPT,Discharge,80%,25°C,25,,,
REPT,Discharge,90%,25°C,25,,,
REPT,Discharge,10%,45°C,45,,,
REPT,Discharge,20%,45°C,45,,,
REPT,Discharge,30%,45°C,45,,,
REPT,Discharge,40%,45°C,45,,,
REPT,Discharge,50%,45°C,45,,,
REPT,Discharge,60%,45°C,45,,,
REPT,Discharge,70%,45°C,45,,,
REPT,Discharge,80%,45°C,45,,,
REPT,Discharge,90%,45°C,45,,,
REPT,Charge,10%,-20°C,-20,,,
REPT,Charge,20%,-20°C,-20,,,
REPT,Charge,30%,-20°C,-20,,,
REPT,Charge,40%,-20°C,-20,,,
REPT,Charge,50%,-20°C,-20,,,
REPT,Charge,60%,-20°C,-20,,,
REPT,Charge,70%,-20°C,-20,,,
REPT,Charge,80%,-20°C,-20,,,
REPT,Charge,90%,-20°C,-20,,,
REPT,Charge,10%,-10°C,-10,,,
REPT,Charge,20%,-10°C,-10,,,
REPT,Charge,30%,-10°C,-10,,,
REPT,Charge,40%,-10°C,-10,,,
REPT,Charge,50%,-10°C,-10,,,
REPT,Charge,60%,-10°C,-10,,,
REPT,Charge,70%,-10°C,-10,,,
REPT,Charge,80%,-10°C,-10,,,
REPT,Charge,90%,-10°C,-10,,,
REPT,Charge,10%,0°C,0,,,
REPT,Charge,20%,0°C,0,,,
REPT,Charge,30%,0°C,0,,,
REPT,Charge,40%,0°C,0,,,
REPT,Charge,50%,0°C,0,,,
REPT,Charge,60%,0°C,0,,,
REPT,Charge,70%,0°C,0,,,
REPT,Charge,80%,0°C,0,,,
REPT,Charge,90%,0°C,0,,,
REPT,Charge,10%,25°C,25,,,
REPT,Charge,20%,25°C,25,,,
REPT,Charge,30%,25°C,25,,,
REPT,Charge,40%,25°C,25,,,
REPT,Charge,50%,25°C,25,,,
REPT,Charge,60%,25°C,25,,,
REPT,Charge,70%,25°C,25,,,
REPT,Charge,80%,25°C,25,,,
REPT,Charge,90%,25°C,25,,,
REPT,Charge,10%,45°C,45,,,
REPT,Charge,20%,45°C,45,,,
REPT,Charge,30%,45°C,45,,,
REPT,Charge,40%,45°C,45,,,
REPT,Charge,50%,45°C,45,,,
REPT,Charge,60%,45°C,45,,,
REPT,Charge,70%,45°C,45,,,
REPT,Charge,80%,45°C,45,,,
REPT,Charge,90%,45°C,45,,,
NETC,Discharge,10%,-20°C,-20,,,
NETC,Discharge,20%,-20°C,-20,,,
NETC,Discharge,30%,-20°C,-20,,,
NETC,Discharge,40%,-20°C,-20,,,
NETC,Discharge,50%,-20°C,-20,,,
NETC,Discharge,60%,-20°C,-20,,,
NETC,Discharge,70%,-20°C,-20,,,
NETC,Discharge,80%,-20°C,-20,,,
NETC,Discharge,90%,-20°C,-20,,,
NETC,Discharge,10%,-10°C,-10,,,
NETC,Discharge,20%,-10°C,-10,,,
NETC,Discharge,30%,-10°C,-10,,,
NETC,Discharge,40%,-10°C,-10,,,
NETC,Discharge,50%,-10°C,-10,,,
NETC,Discharge,60%,-10°C,-10,,,
NETC,Discharge,70%,-10°C,-10,,,
NETC,Discharge,80%,-10°C,-10,,,
NETC,Discharge,90%,-10°C,-10,,,
NETC,Discharge,10%,0°C,0,,,
NETC,Discharge,20%,0°C,0,,,
NETC,Discharge,30%,0°C,0,,,
NETC,Discharge,40%,0°C,0,,,
NETC,Discharge,50%,0°C,0,,,
NETC,Discharge,60%,0°C,0,,,
NETC,Discharge,70%,0°C,0,,,
NETC,Discharge,80%,0°C,0,,,
NETC,Discharge,90%,0°C,0,,,
NETC,Discharge,10%,25°C,25,,,
NETC,Discharge,20%,25°C,25,,,
NETC,Discharge,30%,25°C,25,,,
NETC,Discharge,40%,25°C,25,,,
NETC,Discharge,50%,25°C,25,,,
NETC,Discharge,60%,25°C,25,,,
NETC,Discharge,70%,25°C,25,,,
NETC,Discharge,80%,25°C,25,,,
NETC,Discharge,90%,25°C,25,,,
NETC,Discharge,10%,45°C,45,,,
NETC,Discharge,20%,45°C,45,,,
NETC,Discharge,30%,45°C,45,,,
NETC,Discharge,40%,45°C,45,,,
NETC,Discharge,50%,45°C,45,,,
NETC,Discharge,60%,45°C,45,,,
NETC,Discharge,70%,45°C,45,,,
NETC,Discharge,80%,45°C,45,,,
NETC,Discharge,90%,45°C,45,,,
NETC,Charge,10%,-20°C,-20,,,
NETC,Charge,20%,-20°C,-20,,,
NETC,Charge,30%,-20°C,-20,,,
NETC,Charge,40%,-20°C,-20,,,
NETC,Charge,50%,-20°C,-20,,,
NETC,Charge,60%,-20°C,-20,,,
NETC,Charge,70%,-20°C,-20,,,
NETC,Charge,80%,-20°C,-20,,,
NETC,Charge,90%,-20°C,-20,,,
NETC,Charge,10%,-10°C,-10,,,
NETC,Charge,20%,-10°C,-10,,,
NETC,Charge,30%,-10°C,-10,,,
NETC,Charge,40%,-10°C,-10,,,
NETC,Charge,50%,-10°C,-10,,,
NETC,Charge,60%,-10°C,-10,,,
NETC,Charge,70%,-10°C,-10,,,
NETC,Charge,80%,-10°C,-10,,,
NETC,Charge,90%,-10°C,-10,,,
NETC,Charge,10%,0°C,0,,,
NETC,Charge,20%,0°C,0,,,
NETC,Charge,30%,0°C,0,,,
NETC,Charge,40%,0°C,0,,,
NETC,Charge,50%,0°C,0,,,
NETC,Charge,60%,0°C,0,,,
NETC,Charge,70%,0°C,0,,,
NETC,Charge,80%,0°C,0,,,
NETC,Charge,90%,0°C,0,,,
NETC,Charge,10%,25°C,25,,,
NETC,Charge,20%,25°C,25,,,
NETC,Charge,30%,25°C,25,,,
NETC,Charge,40%,25°C,25,,,
NETC,Charge,50%,25°C,25,,,
NETC,Charge,60%,25°C,25,,,
NETC,Charge,70%,25°C,25,,,
NETC,Charge,80%,25°C,25,,,
NETC,Charge,90%,25°C,25,,,
NETC,Charge,10%,45°C,45,,,
NETC,Charge,20%,45°C,45,,,
NETC,Charge,30%,45°C,45,,,
NETC,Charge,40%,45°C,45,,,
NETC,Charge,50%,45°C,45,,,
NETC,Charge,60%,45°C,45,,,
NETC,Charge,70%,45°C,45,,,
NETC,Charge,80%,45°C,45,,,
NETC,Charge,90%,45°C,45,,,
CNET - Lishen,Discharge,10%,-20°C,-20,,,
CNET - Lishen,Discharge,20%,-20°C,-20,,,
CNET - Lishen,Discharge,30%,-20°C,-20,,,
CNET - Lishen,Discharge,40%,-20°C,-20,,,
CNET - Lishen,Discharge,50%,-20°C,-20,,,
CNET - Lishen,Discharge,60%,-20°C,-20,,,
CNET - Lishen,Discharge,70%,-20°C,-20,,,
CNET - Lishen,Discharge,80%,-20°C,-20,,,
CNET - Lishen,Discharge,90%,-20°C,-20,,,
CNET - Lishen,Discharge,10%,-10°C,-10,,,
CNET - Lishen,Discharge,20%,-10°C,-10,,,
CNET - Lishen,Discharge,30%,-10°C,-10,,,
CNET - Lishen,Discharge,40%,-10°C,-10,,,
CNET - Lishen,Discharge,50%,-10°C,-10,,,
CNET - Lishen,Discharge,60%,-10°C,-10,,,
CNET - Lishen,Discharge,70%,-10°C,-10,,,
CNET - Lishen,Discharge,80%,-10°C,-10,,,
CNET - Lishen,Discharge,90%,-10°C,-10,,,
CNET - Lishen,Discharge,10%,0°C,0,,,
CNET - Lishen,Discharge,20%,0°C,0,,,
CNET - Lishen,Discharge,30%,0°C,0,,,
CNET - Lishen,Discharge,40%,0°C,0,,,
CNET - Lishen,Discharge,50%,0°C,0,,,
CNET - Lishen,Discharge,60%,0°C,0,,,
CNET - Lishen,Discharge,70%,0°C,0,,,
CNET - Lishen,Discharge,80%,0°C,0,,,
CNET - Lishen,Discharge,90%,0°C,0,,,
CNET - Lishen,Discharge,10%,25°C,25,,,
CNET - Lishen,Discharge,20%,25°C,25,,,
CNET - Lishen,Discharge,30%,25°C,25,,,
CNET - Lishen,Discharge,40%,25°C,25,,,
CNET - Lishen,Discharge,50%,25°C,25,,,
CNET - Lishen,Discharge,60%,25°C,25,,,
CNET - Lishen,Discharge,70%,25°C,25,,,
CNET - Lishen,Discharge,80%,25°C,25,,,
CNET - Lishen,Discharge,90%,25°C,25,,,
CNET - Lishen,Discharge,10%,45°C,45,,,
CNET - Lishen,Discharge,20%,45°C,45,,,
CNET - Lishen,Discharge,30%,45°C,45,,,
CNET - Lishen,Discharge,40%,45°C,45,,,
CNET - Lishen,Discharge,50%,45°C,45,,,
CNET - Lishen,Discharge,60%,45°C,45,,,
CNET - Lishen,Discharge,70%,45°C,45,,,
CNET - Lishen,Discharge,80%,45°C,45,,,
CNET - Lishen,Discharge,90%,45°C,45,,,
CNET - Lishen,Charge,10%,-20°C,-20,,,
CNET - Lishen,Charge,20%,-20°C,-20,,,
CNET - Lishen,Charge,30%,-20°C,-20,,,
CNET - Lishen,Charge,40%,-20°C,-20,,,
CNET - Lishen,Charge,50%,-20°C,-20,,,
CNET - Lishen,Charge,60%,-20°C,-20,,,
CNET - Lishen,Charge,70%,-20°C,-20,,,
CNET - Lishen,Charge,80%,-20°C,-20,,,
CNET - Lishen,Charge,90%,-20°C,-20,,,
CNET - Lishen,Charge,10%,-10°C,-10,,,
CNET - Lishen,Charge,20%,-10°C,-10,,,
CNET - Lishen,Charge,30%,-10°C,-10,,,
CNET - Lishen,Charge,40%,-10°C,-10,,,
CNET - Lishen,Charge,50%,-10°C,-10,,,
CNET - Lishen,Charge,60%,-10°C,-10,,,
CNET - Lishen,Charge,70%,-10°C,-10,,,
CNET - Lishen,Charge,80%,-10°C,-10,,,
CNET - Lishen,Charge,90%,-10°C,-10,,,
CNET - Lishen,Charge,10%,0°C,0,,,
CNET - Lishen,Charge,20%,0°C,0,,,
CNET - Lishen,Charge,30%,0°C,0,,,
CNET - Lishen,Charge,40%,0°C,0,,,
CNET - Lishen,Charge,50%,0°C,0,,,
CNET - Lishen,Charge,60%,0°C,0,,,
CNET - Lishen,Charge,70%,0°C,0,,,
CNET - Lishen,Charge,80%,0°C,0,,,
CNET - Lishen,Charge,90%,0°C,0,,,
CNET - Lishen,Charge,10%,25°C,25,,,
CNET - Lishen,Charge,20%,25°C,25,,,
CNET - Lishen,Charge,30%,25°C,25,,,
CNET - Lishen,Charge,40%,25°C,25,,,
CNET - Lishen,Charge,50%,25°C,25,,,
CNET - Lishen,Charge,60%,25°C,25,,,
CNET - Lishen,Charge,70%,25°C,25,,,
CNET - Lishen,Charge,80%,25°C,25,,,
CNET - Lishen,Charge,90%,25°C,25,,,
CNET - Lishen,Charge,10%,45°C,45,,,
CNET - Lishen,Charge,20%,45°C,45,,,
CNET - Lishen,Charge,30%,45°C,45,,,
CNET - Lishen,Charge,40%,45°C,45,,,
CNET - Lishen,Charge,50%,45°C,45,,,
CNET - Lishen,Charge,60%,45°C,45,,,
CNET - Lishen,Charge,70%,45°C,45,,,
CNET - Lishen,Charge,80%,45°C,45,,,
CNET - Lishen,Charge,90%,45°C,45,,,
Gotion,Discharge,10%,-20°C,-20,,,
Gotion,Discharge,20%,-20°C,-20,,,
Gotion,Discharge,30%,-20°C,-20,,,
Gotion,Discharge,40%,-20°C,-20,,,
Gotion,Discharge,50%,-20°C,-20,,,
Gotion,Discharge,60%,-20°C,-20,,,
Gotion,Discharge,70%,-20°C,-20,,,
Gotion,Discharge,80%,-20°C,-20,,,
Gotion,Discharge,90%,-20°C,-20,,,
Gotion,Discharge,10%,-10°C,-10,,,
Gotion,Discharge,20%,-10°C,-10,,,
Gotion,Discharge,30%,-10°C,-10,,,
Gotion,Discharge,40%,-10°C,-10,,,
Gotion,Discharge,50%,-10°C,-10,,,
Gotion,Discharge,60%,-10°C,-10,,,
Gotion,Discharge,70%,-10°C,-10,,,
Gotion,Discharge,80%,-10°C,-10,,,
Gotion,Discharge,90%,-10°C,-10,,,
Gotion,Discharge,10%,0°C,0,,,
Gotion,Discharge,20%,0°C,0,,,
Gotion,Discharge,30%,0°C,0,,,
Gotion,Discharge,40%,0°C,0,,,
Gotion,Discharge,50%,0°C,0,,,
Gotion,Discharge,60%,0°C,0,,,
Gotion,Discharge,70%,0°C,0,,,
Gotion,Discharge,80%,0°C,0,,,
Gotion,Discharge,90%,0°C,0,,,
Gotion,Discharge,10%,25°C,25,,,
Gotion,Discharge,20%,25°C,25,,,
Gotion,Discharge,30%,25°C,25,,,
Gotion,Discharge,40%,25°C,25,,,
Gotion,Discharge,50%,25°C,25,,,
Gotion,Discharge,60%,25°C,25,,,
Gotion,Discharge,70%,25°C,25,,,
Gotion,Discharge,80%,25°C,25,,,
Gotion,Discharge,90%,25°C,25,,,
Gotion,Discharge,10%,45°C,45,,,
Gotion,Discharge,20%,45°C,45,,,
Gotion,Discharge,30%,45°C,45,,,
Gotion,Discharge,40%,45°C,45,,,
Gotion,Discharge,50%,45°C,45,,,
Gotion,Discharge,60%,45°C,45,,,
Gotion,Discharge,70%,45°C,45,,,
Gotion,Discharge,80%,45°C,45,,,
Gotion,Discharge,90%,45°C,45,,,
Gotion,Charge,10%,-20°C,-20,,,
Gotion,Charge,20%,-20°C,-20,,,
Gotion,Charge,30%,-20°C,-20,,,
Gotion,Charge,40%,-20°C,-20,,,
Gotion,Charge,50%,-20°C,-20,,,
Gotion,Charge,60%,-20°C,-20,,,
Gotion,Charge,70%,-20°C,-20,,,
Gotion,Charge,80%,-20°C,-20,,,
Gotion,Charge,90%,-20°C,-20,,,
Gotion,Charge,10%,-10°C,-10,,,
Gotion,Charge,20%,-10°C,-10,,,
Gotion,Charge,30%,-10°C,-10,,,
Gotion,Charge,40%,-10°C,-10,,,
Gotion,Charge,50%,-10°C,-10,,,
Gotion,Charge,60%,-10°C,-10,,,
Gotion,Charge,70%,-10°C,-10,,,
Gotion,Charge,80%,-10°C,-10,,,
Gotion,Charge,90%,-10°C,-10,,,
Gotion,Charge,10%,0°C,0,,,
Gotion,Charge,20%,0°C,0,,,
Gotion,Charge,30%,0°C,0,,,
Gotion,Charge,40%,0°C,0,,,
Gotion,Charge,50%,0°C,0,,,
Gotion,Charge,60%,0°C,0,,,
Gotion,Charge,70%,0°C,0,,,
Gotion,Charge,80%,0°C,0,,,
Gotion,Charge,90%,0°C,0,,,
Gotion,Charge,10%,25°C,25,,,
Gotion,Charge,20%,25°C,25,,,
Gotion,Charge,30%,25°C,25,,,
Gotion,Charge,40%,25°C,25,,,
Gotion,Charge,50%,25°C,25,,,
Gotion,Charge,60%,25°C,25,,,
Gotion,Charge,70%,25°C,25,,,
Gotion,Charge,80%,25°C,25,,,
Gotion,Charge,90%,25°C,25,,,
Gotion,Charge,10%,45°C,45,,,
Gotion,Charge,20%,45°C,45,,,
Gotion,Charge,30%,45°C,45,,,
Gotion,Charge,40%,45°C,45,,,
Gotion,Charge,50%,45°C,45,,,
Gotion,Charge,60%,45°C,45,,,
Gotion,Charge,70%,45°C,45,,,
Gotion,Charge,80%,45°C,45,,,
Gotion,Charge,90%,45°C,45,,,
