Supplier,Direction,SOC,TempLabel,TempC,DCR_mOhm,,AUTO-GENERATED — do not edit. Fill DCR_<Supplier> tabs; Save As CSV UTF-8 → dcr.csv
EVE,Discharge,60%,0°C,0,,,
EVE,Discharge,70%,0°C,0,,,
EVE,Discharge,80%,0°C,0,,,
EVE,Discharge,90%,0°C,0,,,
EVE,Discharge,10%,25°C,25,,,
EVE,Discharge,20%,25°C,25,,,
EVE,Discharge,30%,25°C,25,,,
EVE,Discharge,40%,25°C,25,,,
EVE,Discharge,50%,25°C,25,,,
EVE,Discharge,60%,25°C,25,,,
EVE,Discharge,70%,25°C,25,,,
EVE,Discharge,80%,25°C,25,,,
EVE,Discharge,90%,25°C,25,,,
EVE,Discharge,10%,45°C,45,,,
EVE,Discharge,20%,45°C,45,,,
EVE,Discharge,30%,45°C,45,,,
EVE,Discharge,40%,45°C,45,,,
EVE,Discharge,50%,45°C,45,,,
EVE,Discharge,60%,45°C,45,,,
EVE,Discharge,70%,45°C,45,,,
EVE,Discharge,80%,45°C,45,,,
EVE,Discharge,90%,45°C,45,,,
EVE,Charge,10%,-20°C,-20,,,
EVE,Charge,20%,-20°C,-20,,,
EVE,Charge,30%,-20°C,-20,,,
EVE,Charge,40%,-20°C,-20,,,
EVE,Charge,50%,-20°C,-20,,,
EVE,Charge,60%,-20°C,-20,,,
EVE,Charge,70%,-20°C,-20,,,
EVE,Charge,80%,-20°C,-20,,,
EVE,Charge,90%,-20°C,-20,,,
EVE,Charge,10%,-10°C,-10,,,
EVE,Charge,20%,-10°C,-10,,,
EVE,Charge,30%,-10°C,-10,,,
EVE,Charge,40%,-10°C,-10,,,
EVE,Charge,50%,-10°C,-10,,,
EVE,Charge,60%,-10°C,-10,,,
EVE,Charge,70%,-10°C,-10,,,
EVE,Charge,80%,-10°C,-10,,,
EVE,Charge,90%,-10°C,-10,,,
EVE,Charge,10%,0°C,0,,,
EVE,Charge,20%,0°C,0,,,
EVE,Charge,30%,0°C,0,,,
EVE,Charge,40%,0°C,0,,,
EVE,Charge,50%,0°C,0,,,
EVE,Charge,60%,0°C,0,,,
EVE,Charge,70%,0°C,0,,,
EVE,Charge,80%,0°C,0,,,
EVE,Charge,90%,0°C,0,,,
EVE,Charge,10%,25°C,25,,,
EVE,Charge,20%,25°C,25,,,
EVE,Charge,30%,25°C,25,,,
EVE,Charge,40%,25°C,25,,,
EVE,Charge,50%,25°C,25,,,
EVE,Charge,60%,25°C,25,,,
EVE,Charge,70%,25°C,25,,,
EVE,Charge,80%,25°C,25,,,
EVE,Charge,90%,25°C,25,,,
EVE,Charge,10%,45°C,45,,,
EVE,Charge,20%,45°C,45,,,
EVE,Charge,30%,45°C,45,,,
EVE,Charge,40%,45°C,45,,,
EVE,Charge,50%,45°C,45,,,
EVE,Charge,60%,45°C,45,,,
EVE,Charge,70%,45°C,45,,,
EVE,Charge,80%,45°C,45,,,
EVE,Charge,90%,45°C,45,,,
HITHIUM,Discharge,10%,-20°C,-20,,,
HITHIUM,Discharge,20%,-20°C,-20,,,
HITHIUM,Discharge,30%,-20°C,-20,,,
HITHIUM,Discharge,40%,-20°C,-20,,,
HITHIUM,Discharge,50%,-20°C,-20,,,
HITHIUM,Discharge,60%,-20°C,-20,,,
HITHIUM,Discharge,70%,-20°C,-20,,,
HITHIUM,Discharge,80%,-20°C,-20,,,
HITHIUM,Discharge,90%,-20°C,-20,,,
HITHIUM,Discharge,10%,-10°C,-10,,,
HITHIUM,Discharge,20%,-10°C,-10,,,
HITHIUM,Discharge,30%,-10°C,-10,,,
HITHIUM,Discharge,40%,-10°C,-10,,,
HITHIUM,Discharge,50%,-10°C,-10,,,
HITHIUM,Discharge,60%,-10°C,-10,,,
HITHIUM,Discharge,70%,-10°C,-10,,,
HITHIUM,Discharge,80%,-10°C,-10,,,
HITHIUM,Discharge,90%,-10°C,-10,,,
HITHIUM,Discharge,10%,0°C,0,,,
HITHIUM,Discharge,20%,0°C,0,,,
HITHIUM,Discharge,30%,0°C,0,,,
HITHIUM,Discharge,40%,0°C,0,,,
HITHIUM,Discharge,50%,0°C,0,,,
HITHIUM,Discharge,60%,0°C,0,,,
HITHIUM,Discharge,70%,0°C,0,,,
HITHIUM,Discharge,80%,0°C,0,,,
HITHIUM,Discharge,90%,0°C,0,,,
HITHIUM,Discharge,10%,25°C,25,0.514,,
HITHIUM,Discharge,20%,25°C,25,0.4723,,
HITHIUM,Discharge,30%,25°C,25,0.4608,,
HITHIUM,Discharge,40%,25°C,25,0.4443,,
HITHIUM,Discharge,50%,25°C,25,0.4287,,
HITHIUM,Discharge,60%,25°C,25,0.4822,,
HITHIUM,Discharge,70%,25°C,25,0.4637,,
HITHIUM,Discharge,80%,25°C,25,0.443,,
HITHIUM,Discharge,90%,25°C,25,0.4194,,
HITHIUM,Discharge,10%,45°C,45,,,
HITHIUM,Discharge,20%,45°C,45,,,
HITHIUM,Discharge,30%,45°C,45,,,
HITHIUM,Discharge,40%,45°C,45,,,
HITHIUM,Discharge,50%,45°C,45,,,
HITHIUM,Discharge,60%,45°C,45,,,
HITHIUM,Discharge,70%,45°C,45,,,
HITHIUM,Discharge,80%,45°C,45,,,
HITHIUM,Discharge,90%,45°C,45,,,
HITHIUM,Charge,10%,-20°C,-20,,,
HITHIUM,Charge,20%,-20°C,-20,,,
HITHIUM,Charge,30%,-20°C,-20,,,
HITHIUM,Charge,40%,-20°C,-20,,,
HITHIUM,Charge,50%,-20°C,-20,,,
HITHIUM,Charge,60%,-20°C,-20,,,
HITHIUM,Charge,70%,-20°C,-20,,,
HITHIUM,Charge,80%,-20°C,-20,,,
HITHIUM,Charge,90%,-20°C,-20,,,
HITHIUM,Charge,10%,-10°C,-10,,,
