SR NO,Category,Parameter,Unit,COSPOWER,EVE,HITHIUM,YOUNGY ENERGY,GREAT POWER,CORNEX,Tianneng Energy,REPT,NETC,CNET - Lishen,Gotion,Remarks
181,Charge Derating,"Chg power @ 40-45°C @ [40,60%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
182,Charge Derating,"Chg power @ 45-50°C @ [40,60%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
183,Charge Derating,"Chg power @ 50-55°C @ [40,60%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
184,Charge Derating,"Chg power @ 55-60°C @ [40,60%)",P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,
185,Charge Derating,"Chg power @ 0-5°C @ [60,80%)",P,0.10P,0.09P,0.11P,0.09P,0.10P,0.11P,0.08P,,0.09P,,0.11P,
186,Charge Derating,"Chg power @ 5-10°C @ [60,80%)",P,0.15P,0.14P,0.16P,0.14P,0.15P,0.16P,0.13P,0.14P,0.14P,0.14P,0.16P,
187,Charge Derating,"Chg power @ 10-15°C @ [60,80%)",P,0.23P,0.22P,0.24P,0.22P,0.23P,0.24P,0.21P,0.22P,0.22P,0.22P,0.24P,
188,Charge Derating,"Chg power @ 15-20°C @ [60,80%)",P,0.33P,0.32P,0.34P,0.32P,0.33P,0.34P,0.31P,0.32P,0.32P,0.32P,0.34P,
189,Charge Derating,"Chg power @ 20-25°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
190,Charge Derating,"Chg power @ 25-30°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
191,Charge Derating,"Chg power @ 30-35°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
192,Charge Derating,"Chg power @ 35-40°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
193,Charge Derating,"Chg power @ 40-45°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
194,Charge Derating,"Chg power @ 45-50°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
195,Charge Derating,"Chg power @ 50-55°C @ [60,80%)",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
196,Charge Derating,"Chg power @ 55-60°C @ [60,80%)",P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,
197,Charge Derating,"Chg power @ 0-5°C @ [80,100%]",P,0.05P,0.04P,0.06P,0.04P,0.05P,0.06P,0.03P,,0.04P,,0.06P,
198,Charge Derating,"Chg power @ 5-10°C @ [80,100%]",P,0.10P,0.09P,0.11P,0.09P,0.10P,0.11P,0.08P,0.09P,0.09P,0.09P,0.11P,
199,Charge Derating,"Chg power @ 10-15°C @ [80,100%]",P,0.13P,0.12P,0.14P,0.12P,0.13P,0.14P,0.11P,0.12P,0.12P,0.12P,0.14P,
200,Charge Derating,"Chg power @ 15-20°C @ [80,100%]",P,0.20P,0.19P,0.21P,0.19P,0.20P,0.21P,0.18P,0.19P,0.19P,0.19P,0.21P,
201,Charge Derating,"Chg power @ 20-25°C @ [80,100%]",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
202,Charge Derating,"Chg power @ 25-30°C @ [80,100%]",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
203,Charge Derating,"Chg power @ 30-35°C @ [80,100%]",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
204,Charge Derating,"Chg power @ 35-40°C @ [80,100%]",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
205,Charge Derating,"Chg power @ 40-45°C @ [80,100%]",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
206,Charge Derating,"Chg power @ 45-50°C @ [80,100%]",P,0.50P,0.49P,0.51P,0.49P,0.50P,0.51P,0.48P,0.49P,0.49P,0.49P,0.51P,
207,Charge Derating,"Chg power @ 50-55°C @ [80,100%]",P,0.25P,0.24P,0.26P,0.24P,0.25P,0.26P,0.23P,0.24P,0.24P,0.24P,0.26P,
208,Charge Derating,"Chg power @ 55-60°C @ [80,100%]",P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,0.00P,
